MONTH 4/2025,,,,WEEK 1,,,,,,,,WEEK 2,,,,,,,,WEEK 3,,,,,,,,WEEK 4,,,,,,,,
12:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13:00,,,,,,,ตอบเเชท MLAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fitness,,,,,,,
15:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16:00,,,,,,,,,,,,,,,,,,,,,ฟังลิ้งก์,,,,,,,,,,,,,,,
16:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ลงเคสBM//
 Book club online",,,,,,,
17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17:30,,,,,,,,,,,,,,,,,,,,,"ลงเคสBM//
 Book club online",,,,,,,,,,,,,,,
18:00,นัดเคส / เพิ่มเพื่อน,"
Weight",,"Arobic dance 
",,,Bridge Online,"Arobic dance 
/ weight",นัดเคส / เพิ่มเพื่อน,"Arobic dance 
/ weight",,"Arobic dance 
/ weight",,,,,นัดเคส / เพิ่มเพื่อน,"Arobic dance 
/ weight",,"Arobic dance 
/ weight",,community,,fitness,,Admin Page MLAB,,,,community,ไป Survey มศว.,fitness,,,,
18:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ฟังลิ้งก์,,,,,,,
19:00,"center bkk
",,,,,,,,"center bkk

",,,,,,,,"center bkk

",,,,,,Bridge Online,,"center bkk

Lighther",,,,,,,,"center bkk
",,,
19:30,,,,,,,,,,,,,,,,,,,,,,,,ติดตาม 6วีคสาวต่าย,,,,,,,,,,,,
20:00,,เคส BM พี่คิง,,เคส BM เกต,, ,,,,,,,,,,,,,,,,,,,,,,,อ่านหนังสือ,,,,,,,
20:30,,,,,,,,,,นัดเคส / เพิ่มเพื่อน,,,,,,,,,,,,,,,,,,,,,,,,,,
21:00,,,,,,,,,,,,,ตอบแชท MLAB,ตอบแชท MLAB,ตอบแชท MLAB,ตอบแชท MLAB,,,,,ตอบแชท MLAB,ตอบแชท MLAB,,,,,,,ตอบแชท MLAB,ตอบแชท MLAB,,,,,,
21:30,,นัดเคส / เพิ่มเพื่อน,,นัดเคส / เพิ่มเพื่อน,,BM Someone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22:30,,ฟังลิ้งก์,,,,,,,,,,,,,,,,ฟังลิ้งก์,,ฟังลิ้งก์,,,,ฟังลิ้งก์,,ฟังลิ้งก์,,ฟังลิ้งก์,,,,,,,,
23:00,อาบน้ำ-บำรุงผิว,,,,,,,,อาบน้ำ-บำรุงผิว,,,,,,,,อาบน้ำ-บำรุงผิว,,,,,,QC Center,,อาบน้ำ-บำรุงผิว,,,,,,,,อาบน้ำ-บำรุงผิว,,,
23:30,QC Center,,,,,,,,QC Center,,,,,,,,QC Center,อ่านหนังสือ,,,,,อ่านหนังสือ,อ่านหนังสือ,QC Center,อ่านหนังสือ,,,,,,,QC Center,,,
Midnight,,อ่านหนังสือ,,อ่านหนังสือ,,,,,,,,,,,,,,,,อ่านหนังสือ,อ่านหนังสือ,,,,,,,อ่านหนังสือ,,,,,,,,
01:00,go to bed,go to bed,,go to bed,go to bed,go to bed,go to bed,go to bed,go to bed,go to bed,,go to bed,go to bed,go to bed,go to bed,go to bed,go to bed,go to bed,,go to bed,go to bed,go to bed,go to bed,go to bed,go to bed,go to bed,,go to bed,go to bed,go to bed,go to bed,go to bed,go to bed,go to bed,,go to bed
,,,,,,,,,,,,,,"็็How to & 
รายได้ 5 ข้อ พี่คิง ",,,,,,,,,,,,,,,,,,,,,,
02.30. AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Credit : Aom Nty.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
note,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETC .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"คนใหม่/ มีปัญหา
1st Priority",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
คนเริ่มต้นทำงาน,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
คนเก่า ที่เวิก,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
คนเก่า ที่ทำงานด้วย,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
